Profiling result from test run Test profileMain exported at Thu Sep 29 08:09:53 CEST 2011;

time stamp [nano secs];event;power rate [mW];avg power rate [mW];avg power rate in interval [mW];
1316418475536925952;Start;20217;38119.11429788512;38964.63660500255;
1316418475546907904;;20241;38119.11429788512;38964.63660500255;
1316418475553970944;;20194;38119.11429788512;38964.63660500255;
1316418475563168000;;20217;38119.11429788512;38964.63660500255;
1316418475570763008;;20241;38119.11429788512;38964.63660500255;
1316418475586775040;;20217;38119.11429788512;38964.63660500255;
1316418475603674880;;20217;38119.11429788512;38964.63660500255;
1316418475626518016;;20170;38119.11429788512;38964.63660500255;
1316418475655553024;;20197;38119.11429788512;38964.63660500255;
1316418475666866176;;20244;38119.11429788512;38964.63660500255;
1316418475737150976;;20173;38119.11429788512;38964.63660500255;
1316418475748609024;;20197;38119.11429788512;38964.63660500255;
1316418475785676032;;20220;38119.11429788512;38964.63660500255;
1316418475818348800;;20220;38119.11429788512;38964.63660500255;
1316418475851980800;;20173;38119.11429788512;38964.63660500255;
1316418475886528000;;20220;38119.11429788512;38964.63660500255;
1316418475897243136;;20197;38119.11429788512;38964.63660500255;
1316418475933579008;;20220;38119.11429788512;38964.63660500255;
1316418475966458112;;20220;38119.11429788512;38964.63660500255;
1316418475998696960;;20244;38119.11429788512;38964.63660500255;
1316418476009890048;;20267;38119.11429788512;38964.63660500255;
1316418476022566912;;20244;38119.11429788512;38964.63660500255;
1316418476055715072;;20189;38119.11429788512;38964.63660500255;
1316418476066703104;;20236;38119.11429788512;38964.63660500255;
1316418476101052928;;20233;38119.11429788512;38964.63660500255;
1316418476134951168;;20233;38119.11429788512;38964.63660500255;
1316418476188980992;;20186;38119.11429788512;38964.63660500255;
1316418476226984960;;20210;38119.11429788512;38964.63660500255;
1316418476285739776;;20163;38119.11429788512;38964.63660500255;
1316418476320468992;;20231;38119.11429788512;38964.63660500255;
1316418476355364096;;20231;38119.11429788512;38964.63660500255;
1316418476390230784;;20231;38119.11429788512;38964.63660500255;
1316418476426907136;;20207;38119.11429788512;38964.63660500255;
1316418476460699136;;20207;38119.11429788512;38964.63660500255;
1316418476472007936;;20254;38119.11429788512;38964.63660500255;
1316418476484244992;;20215;38119.11429788512;38964.63660500255;
1316418476518647040;;20238;38119.11429788512;38964.63660500255;
1316418476558182912;;20168;38119.11429788512;38964.63660500255;
1316418476593988864;;20165;38119.11429788512;38964.63660500255;
1316418476629308928;;20212;38119.11429788512;38964.63660500255;
1316418476662592000;;20212;38119.11429788512;38964.63660500255;
1316418476696541952;;20212;38119.11429788512;38964.63660500255;
1316418476730998016;;20189;38119.11429788512;38964.63660500255;
1316418476785227008;;20189;38119.11429788512;38964.63660500255;
1316418476821883904;;20163;38119.11429788512;38964.63660500255;
1316418476854963968;;20163;38119.11429788512;38964.63660500255;
1316418476891241984;;20210;38119.11429788512;38964.63660500255;
1316418476927822080;;20163;38119.11429788512;38964.63660500255;
1316418476961355008;;20210;38119.11429788512;38964.63660500255;
1316418476994119936;;20186;38119.11429788512;38964.63660500255;
1316418477029268992;;20163;38119.11429788512;38964.63660500255;
1316418477063011840;;20207;38119.11429788512;38964.63660500255;
1316418477098636032;;20184;38119.11429788512;38964.63660500255;
1316418477132029184;;20184;38119.11429788512;38964.63660500255;
1316418477165095168;;20181;38119.11429788512;38964.63660500255;
1316418477202980096;;20134;38119.11429788512;38964.63660500255;
1316418477213687040;;20111;38119.11429788512;38964.63660500255;
1316418477249332992;;20111;38119.11429788512;38964.63660500255;
1316418477285003776;;20181;38119.11429788512;38964.63660500255;
1316418477321611008;;20181;38119.11429788512;38964.63660500255;
1316418477355293952;;20181;38119.11429788512;38964.63660500255;
1316418477368272128;;20205;38119.11429788512;38964.63660500255;
1316418477403729920;;20228;38119.11429788512;38964.63660500255;
1316418477413209088;;20181;38119.11429788512;38964.63660500255;
1316418477446942976;;20252;38119.11429788512;38964.63660500255;
1316418477483526912;;20205;38119.11429788512;38964.63660500255;
1316418477516311808;;20252;38119.11429788512;38964.63660500255;
1316418477554354944;;20202;38119.11429788512;38964.63660500255;
1316418477590873088;;20225;38119.11429788512;38964.63660500255;
1316418477625677056;;20225;38119.11429788512;38964.63660500255;
1316418477658328064;;20225;38119.11429788512;38964.63660500255;
1316418477695798016;;20179;38119.11429788512;38964.63660500255;
1316418477706829056;;20202;38119.11429788512;38964.63660500255;
1316418477741459968;;20179;38119.11429788512;38964.63660500255;
1316418477776180992;;20132;38119.11429788512;38964.63660500255;
1316418477815324928;;20173;38119.11429788512;38964.63660500255;
1316418477853095168;;20197;38119.11429788512;38964.63660500255;
1316418477888685824;;20173;38119.11429788512;38964.63660500255;
1316418477924668160;;20173;38119.11429788512;38964.63660500255;
1316418477977911040;;20150;38119.11429788512;38964.63660500255;
1316418478012711936;;20197;38119.11429788512;38964.63660500255;
1316418478024293888;;20197;38119.11429788512;38964.63660500255;
1316418478058140928;;20173;38119.11429788512;38964.63660500255;
1316418478116513024;;20150;38119.11429788512;38964.63660500255;
1316418478148994048;;20173;38119.11429788512;38964.63660500255;
1316418478161134848;;20150;38119.11429788512;38964.63660500255;
1316418478172137984;;20197;38119.11429788512;38964.63660500255;
1316418478208091904;;20150;38119.11429788512;38964.63660500255;
1316418478241867008;;20173;38119.11429788512;38964.63660500255;
1316418478273072896;;20173;38119.11429788512;38964.63660500255;
1316418478285974016;;20145;38119.11429788512;38964.63660500255;
1316418478321952000;;20192;38119.11429788512;38964.63660500255;
1316418478356329984;;20142;38119.11429788512;38964.63660500255;
1316418478392674816;;20166;38119.11429788512;38964.63660500255;
1316418478405169920;;20213;38119.11429788512;38964.63660500255;
1316418478438467072;;20189;38119.11429788512;38964.63660500255;
1316418478471703040;;20142;38119.11429788512;38964.63660500255;
1316418478508485120;;20119;38119.11429788512;38964.63660500255;
1316418478545103104;;20189;38119.11429788512;38964.63660500255;
1316418478584163072;;20166;38119.11429788512;38964.63660500255;
1316418478622050048;;20236;38119.11429788512;38964.63660500255;
1316418478653103104;;20189;38119.11429788512;38964.63660500255;
1316418478692158976;;20213;38119.11429788512;38964.63660500255;
1316418478724807936;;20166;38119.11429788512;38964.63660500255;
1316418478758447872;;20213;38119.11429788512;38964.63660500255;
1316418478771022080;;20239;38119.11429788512;38964.63660500255;
1316418478828995072;;20215;38119.11429788512;38964.63660500255;
1316418478887988992;;20168;38119.11429788512;38964.63660500255;
1316418478922749952;;20215;38119.11429788512;38964.63660500255;
1316418478953854976;;20192;38119.11429788512;38964.63660500255;
1316418478966855168;;20192;38119.11429788512;38964.63660500255;
1316418478976721152;;20192;38119.11429788512;38964.63660500255;
1316418479014292992;;20142;38119.11429788512;38964.63660500255;
1316418479048894976;;20119;38119.11429788512;38964.63660500255;
1316418479061368064;;20189;38119.11429788512;38964.63660500255;
1316418479071598080;;20189;38119.11429788512;38964.63660500255;
1316418479104939008;;20119;38119.11429788512;38964.63660500255;
1316418479145901056;;20119;38119.11429788512;38964.63660500255;
1316418479177995008;;20095;38119.11429788512;38964.63660500255;
1316418479214966016;;20166;38119.11429788512;38964.63660500255;
1316418479246854144;;20124;38119.11429788512;38964.63660500255;
1316418479302973952;;20194;38119.11429788512;38964.63660500255;
1316418479316704000;;20194;38119.11429788512;38964.63660500255;
1316418479348731904;;20171;38119.11429788512;38964.63660500255;
1316418479385938944;;20147;38119.11429788512;38964.63660500255;
1316418479417312000;;20171;38119.11429788512;38964.63660500255;
1316418479475123968;;20147;38119.11429788512;38964.63660500255;
1316418479508892928;;20171;38119.11429788512;38964.63660500255;
1316418479544254976;;20171;38119.11429788512;38964.63660500255;
1316418479556340992;;20147;38119.11429788512;38964.63660500255;
1316418479592154880;;20194;38119.11429788512;38964.63660500255;
1316418479629884928;;20405;38119.11429788512;38964.63660500255;
1316418479664015104;;22259;38119.11429788512;38964.63660500255;
1316418479696126976;;22846;38119.11429788512;38964.63660500255;
1316418479709078016;;22846;38119.11429788512;38964.63660500255;
1316418479744615936;;23553;38119.11429788512;38964.63660500255;
1316418479807915008;;24327;38119.11429788512;38964.63660500255;
1316418479844603136;;24539;38119.11429788512;38964.63660500255;
1316418479877590016;;24609;38119.11429788512;38964.63660500255;
1316418479914542080;;24445;38119.11429788512;38964.63660500255;
1316418479948921088;;24327;38119.11429788512;38964.63660500255;
1316418479983858176;;24230;38119.11429788512;38964.63660500255;
1316418480016897024;;23878;38119.11429788512;38964.63660500255;
1316418480076692992;;23878;38119.11429788512;38964.63660500255;
1316418480087970048;;23644;38119.11429788512;38964.63660500255;
1316418480124836864;;23362;38119.11429788512;38964.63660500255;
1316418480158894080;;23195;38119.11429788512;38964.63660500255;
1316418480260971008;;23007;38119.11429788512;38964.63660500255;
1316418480284944128;;23007;38119.11429788512;38964.63660500255;
1316418480325068032;;22796;38119.11429788512;38964.63660500255;
1316418480382066944;;22702;38119.11429788512;38964.63660500255;
1316418480406481920;;22421;38119.11429788512;38964.63660500255;
1316418480433996800;;22398;38119.11429788512;38964.63660500255;
1316418480473722880;;22280;38119.11429788512;38964.63660500255;
1316418480483316992;;22234;38119.11429788512;38964.63660500255;
1316418480490700032;;22234;38119.11429788512;38964.63660500255;
1316418480513842944;;22242;38119.11429788512;38964.63660500255;
1316418480538144000;;22031;38119.11429788512;38964.63660500255;
1316418480562983936;;22008;38119.11429788512;38964.63660500255;
1316418480586936064;;21961;38119.11429788512;38964.63660500255;
1316418480593713152;;21961;38119.11429788512;38964.63660500255;
1316418480602948864;;21844;38119.11429788512;38964.63660500255;
1316418480644278016;;21820;38119.11429788512;38964.63660500255;
1316418480668145920;;21750;38119.11429788512;38964.63660500255;
1316418480693900032;;21744;38119.11429788512;38964.63660500255;
1316418480716888064;;21744;38119.11429788512;38964.63660500255;
1316418480742310912;;21674;38119.11429788512;38964.63660500255;
1316418480765054976;;21674;38119.11429788512;38964.63660500255;
1316418480805259008;;21627;38119.11429788512;38964.63660500255;
1316418480830477056;;21627;38119.11429788512;38964.63660500255;
1316418480852786944;;21510;38119.11429788512;38964.63660500255;
1316418480876087040;;21533;38119.11429788512;38964.63660500255;
1316418480901979904;;21536;38119.11429788512;38964.63660500255;
1316418480908684032;;23529;38119.11429788512;38964.63660500255;
1316418480933756160;;29437;38119.11429788512;38964.63660500255;
1316418480942547200;;33657;38119.11429788512;38964.63660500255;
1316418480950802176;;33648;38119.11429788512;38964.63660500255;
1316418480974225920;;36742;38119.11429788512;38964.63660500255;
1316418480996666880;;41852;38119.11429788512;38964.63660500255;
1316418481036920064;;43469;38119.11429788512;38964.63660500255;
1316418481063334912;;43397;38119.11429788512;38964.63660500255;
1316418481086169856;;43397;38119.11429788512;38964.63660500255;
1316418481109792000;;44731;38119.11429788512;38964.63660500255;
1316418481134272000;;46205;38119.11429788512;38964.63660500255;
1316418481158739968;;46509;38119.11429788512;38964.63660500255;
1316418481183976960;;46503;38119.11429788512;38964.63660500255;
1316418481206945792;;46503;38119.11429788512;38964.63660500255;
1316418481249992960;;47205;38119.11429788512;38964.63660500255;
1316418481321780992;;48211;38119.11429788512;38964.63660500255;
1316418481403783168;;49826;38119.11429788512;38964.63660500255;
1316418481478916864;;49800;38119.11429788512;38964.63660500255;
1316418481505168896;;49823;38119.11429788512;38964.63660500255;
1316418481546000128;;49823;38119.11429788512;38964.63660500255;
1316418481569724928;;49543;38119.11429788512;38964.63660500255;
1316418481595074048;;49496;38119.11429788512;38964.63660500255;
1316418481605015040;;48561;38119.11429788512;38964.63660500255;
1316418481611686912;;48046;38119.11429788512;38964.63660500255;
1316418481641860864;;48374;38119.11429788512;38964.63660500255;
1316418481665867008;;48367;38119.11429788512;38964.63660500255;
1316418481689848064;;48249;38119.11429788512;38964.63660500255;
1316418481715100928;;48646;38119.11429788512;38964.63660500255;
