Profiling the Nao sitting unstiff for 10 seconds to estimate the probe effect, Done at Wed Aug 17 08:46:27 CEST 2011
Frequency: 12,5 | | | Frequency: 6,25
Consumption [mJ] | Exec, time [nano secs] | | Consumption [mJ] | Exec, time [nano secs]
195948,76396927997 | 10000763122 | | 194492,39490304 | 10000253166
196199,53809023998 | 10000257695 | | 194176,374011904 | 10000235956
196262,43961216 | 10000514484 | | 194301,44182860802 | 10000265394
196207,90790195198 | 10000525354 | | 195472,071044864 | 10000252714
195548,81950079996 | 10000230975 | | 195170,42856934396 | 10000214670
196515,73043763204 | 10000400809 | | 194234,904452096 | 10000207424
196345,55662412793 | 10000129980 | | 194629,504125184 | 10000256337
196452,97250406403 | 9999883154 | | 195294,56867584007 | 10000181157
196147,396309504 | 10000150360 | | 194452,06352000003 | 10000336045
196289,46706329603 | 10000530788 | | 194313,023084544 | 10000277170
196330,18396339196 | 10000469195 | | 194127,101398272 | 10000410319
196484,774835456 | 9999984149 | | 194433,15268889608 | 10000226898
196470,020856832 | 10000343745 | | 194493,21219404804 | 10000603251
212678,370470912 | 10000370012 | | 194647,0466752 | 10000101448
196150,74859417594 | 10000621819 | | 194356,9725511679 | 10000196555
196590,36335129596 | 10000549810 | | 194557,27726566402 | 10000205613
195509,65514214392 | 10000574719 | | 194429,90858393596 | 10000275811
196207,728410624 | 10000538035 | | 194126,244624384 | 10000238673
195234,82775731207 | 10000510861 | | 194350,65925555202 | 10000262677
196203,43010687997 | 10000588759 | | 194124,553631744 | 10000209236
195362,23395481607 | 10000567925 | | 195217,228948224 | 10000240033
195555,38729856003 | 10000704699 | | 194289,06817510404 | 10000569737
195426,01355315195 | 10000606873 | | 195061,12550297598 | 10000660768
195689,17232025604 | 10000048912 | | 194001,020017664 | 10003306556
195324,72525312 | 10000505879 | | 194345,47099878403 | 10000106429
195992,731400448 | 10000458778 | | 195292,61383705607 | 10000230521
195695,5974182401 | 10000456967 | | 195004,76665625602 | 10000271734
197688,9615767039 | 10000523089 | | 193900,63990758403 | 10000283057
194966,78667980805 | 10000411225 | | 194853,52903628798 | 10000191120
195904,77852672004 | 10000578795 | | 194833,82895718404 | 10000269923
196108,57982873605 | 10000251808 | | 194000,713443584 | 10000261771
195404,832670208 | 10000517202 | | 194800,43740927996 | 10000258601
195327,495834112 | 10002124512 | | 193754,68137343993 | 10000411677
195574,19462911988 | 10000014493 | | 193904,2879311359 | 10000312947
195311,01127577602 | 10000485952 | | 193818,011369472 | 10000153983
195196,81487897603 | 10000613667 | | 195079,55279769603 | 10000218746
196128,32844851198 | 10000214670 | | 193882,953090048 | 10000125904
195124,541525504 | 10000434322 | | 193922,802445312 | 10000223276
195842,48303667209 | 9999658068 | | 193845,55006079996 | 10000230974
195860,88815462397 | 10000525353 | | 193741,097266176 | 10000304795
195401,42568038395 | 10000490481 | | 193822,18834636797 | 10000303437
195543,026422528 | 10000586494 | | 193869,42841932797 | 9999800275
196174,55857407997 | 10000245014 | | 207786,65531008 | 10000276264
194542,291404288 | 10000344197 | | 194529,79703500797 | 10000331063
195423,2178022399 | 10002481390 | | 193632,27594393597 | 10000334233
194653,40890137613 | 10000510408 | | 193771,69806028798 | 10000293926
195543,14358246402 | 10000473724 | | 193756,531651072 | 10000320194
195516,40782591995 | 10000302078 | | 194807,646880256 | 10000240938
195831,63503974394 | 10000053894 | | 193626,162330624 | 10000164400
195339,62920166398 | 10000567019 | | 193424,97614079996 | 10000251807
