Profiled on Aug 15 2011 at 13:57; Used NaoService r42 and a freshly recharged Nao,

Results (main1()):
Energy consumption [mJ] | duration [nano secs]
2225283,9457466872 | 55532464956
2153685,677026304 | 55859335959
2180147,3011312652 | 56185447913
2159239,328903423 | 54477980116
2165515,8997061113 | 55402359663
2101630,5605073925 | 55446899880
2075803,6195445757 | 55303242669
2106574,033064959 | 55079409355
2112552,0603048955 | 55390375208
2051544,4999994878 | 55380426054
2197703,434129406 | 55188398511
2127748,5500160004 | 55385430523
2124067,2449397775 | 55381520245
2138165,621262337 | 55445441564
2148654,784345088 | 55190381730
2202264,561936641 | 55304536584
2209928,863505921 | 55506424514
2179433,6906419224 | 55424357582
2155306,8505374705 | 55287414964
2128588,0214630384 | 55391415050
2201477,606731264 | 55364422174
2150162,4606205444 | 55241298680
2200793,8917606394 | 55762439046
2146436,7622558717 | 55670453758
1989319,7712957435 | 56244783691
2170314,088742143 | 55341462310
2096988,3796433902 | 55343343174
2106056,2784783365 | 55361469765
2141980,4443878406 | 55323371952
2229513,1767672324 | 56582441247
2165140,639851009 | 55374458284
2144656,5431936 | 55489409324
2137191,4313336327 | 55343477684
2116497,592158209 | 55139456628
2105953,581056512 | 54902400650
2181804,013530368 | 55874482513
2123293,0244185603 | 55369385881
2167836,3328317446 | 55298449702
2156325,1673356807 | 55379340017
2218752,6004410866 | 56187446077
2204927,7910108166 | 55319266024
2176336,728563455 | 55307377129
2176803,8665121277 | 55478394512
2220163,1411584024 | 55325331620
2114250,3194687995 | 55486415700
2201873,365112833 | 55440397695
2175907,4812572156 | 55428480720
2025178,586364159 | 55356397363
2167145,2082068482 | 56096527353
2194958,225986047 | 55426338084

Summary
Method | min | max | avg | std, dev, | exec, time
1989,3197712957435 | 2229,5131767672324 | 2151,037540983736 |  | 50,25103566799676 | 55,45643963594 secs,


