Profiled on Aug 16 2011 at 08:30; Used NaoService r42 and a freshly recharged Nao.

Results (main2()):
Energy consumption [mJ] | duration [nano secs]
1977031,6183959057 | 58424534523
2120814,356538881 | 58139132341
2129549,1693207044 | 57974720297
2113853,6757158404 | 58720841319
2099360,7305538575 | 58083607481
2136877,5799654396 | 58180940610
2114519,4510965766 | 58501780752
2053645,7299025913 | 57679864098
2097922,527631872 | 58105195701
2125765,1778611215 | 58370571217
2095983,3528204793 | 58134358006
2110301,910905343 | 58162397602
2060004,7495175658 | 58121811675
2099025,6361328657 | 58259306829
2109455,7193679377 | 58084743774
2125516,059982849 | 58775639296
2114971,2958087684 | 58853810320
2101599,1433441304 | 58014713395
2094800,3912975364 | 58211994170
2102037,79369856 | 58214652165
2087612,839936512 | 58115753404
2110771,1244743685 | 58287263095
2150093,006859777 | 58244306304
2203615,8546112007 | 59872514556
2135331,623450881 | 58314651893
2127483,049093118 | 58365185031
2114573,5784829417 | 58042590406
2096012,3006858225 | 58179034409
2121349,6694638063 | 58826169717
3589681,7555302414 | 80499830621
1992497,567711488 | 58153056807
2036562,0122001918 | 58245463430
2002439,7354071026 | 58075631234
1980514,4934727673 | 58203408338
1973854,048465665 | 58068941639
1981209,8491384315 | 58604298079
1994370,0950855687 | 58354135040
2040018,4698452498 | 58006166511
2889304,5883010575 | 71093243559
2754069,063750912 | 68890044908
2029260,5345687028 | 58828885228
1989456,363371009 | 58004264837
1915070,4635688965 | 58121246924
1976100,5349125115 | 58250112769
2016794,0617336314 | 58148342252
1992387,394379523 | 58229225618
2003472,3057633277 | 58257581782
1977774,310139138 | 58450411131
1974977,6415032318 | 58364807777
2025806,7590840315 | 58104030876

Summary
Method | min | max | avg | std, dev, | exec, time
1915,0704635688965 | 3589,6817555302414 | 2125,3100232969987 |  | 266,9818619585969 | 59,20430427492 secs.


