Profiling the Nao standing for 10 seconds to estimate the probe effect, Done at Wed Aug 17 10:21:00 CEST 2011
Frequency: 12,5 | | | Frequency: 6,25
Consumption [mJ] | Exec, time [nano secs] | | Consumption [mJ] | Exec, time [nano secs]
363543,77455027204 | 9999759515 | | 356773,139269888 | 10000208783
357639,51558476797 | 10000155342 | | 363530,39120179205 | 10000096013
371927,356953856 | 10000530788 | | 373622,14675225597 | 10000181610
381132,4346311679 | 10000312042 | | 373372,19348991994 | 10000307513
371486,27784064 | 10000422094 | | 366976,95100851206 | 10000269018
372991,0962946559 | 10000162588 | | 444648,8702223359 | 10000317023
366845,0179466239 | 10000472365 | | 366251,12302207993 | 10000176628
371443,321193984 | 9999816579 | | 372370,6026273281 | 10000280340
374904,45289344003 | 10000552527 | | 373508,405233152 | 10000181156
361713,7475586559 | 10000103712 | | 357657,59517824004 | 10000230521
360449,56883839995 | 10000519014 | | 358515,1913802239 | 10000224634
348232,7284915201 | 10000653974 | | 344541,8240256 | 10000177080
358535,0504570881 | 9999658067 | | 372980,71169996803 | 10000279434
358237,7335347199 | 10000162588 | | 354553,8803855358 | 10000271281
356658,55542553606 | 10000337403 | | 358097,5139709441 | 10000198366
361818,93983539206 | 10000504974 | | 357834,3600023039 | 10000246373
357457,86945919995 | 10000508144 | | 354471,415857664 | 10000243202
356827,3463572481 | 10000545734 | | 354504,15695948794 | 10000278528
348785,3268761601 | 10000568831 | | 348858,866968576 | 10000306154
352799,844306432 | 10000456514 | | 356476,9104890879 | 10000219199
356368,46189823997 | 10000443833 | | 347113,0254133761 | 10001670262
347383,8120066561 | 10000347368 | | 343762,573675776 | 10000262677
349772,793397248 | 10000101900 | | 348930,855173888 | 10000168022
352988,95251174417 | 10000563396 | | 351347,710939392 | 10000248637
349923,10818816005 | 10000458326 | | 347696,3265599999 | 10000305248
350974,61213747185 | 10000265847 | | 353411,391809792 | 10000252260
352760,86211558385 | 10000344197 | | 347850,47188403195 | 10000373635
348469,21236710396 | 10000434775 | | 347317,4558666239 | 10000310683
351489,18749158405 | 10000083785 | | 351950,759614208 | 10000234598
352216,890327808 | 10000375446 | | 376571,53331916797 | 10000290756
361354,1289605122 | 10000516749 | | 350485,28395187197 | 10000210594
347250,107178752 | 9999707433 | | 337498,1183580159 | 10000222369
338777,666031872 | 10000413942 | | 334981,094510848 | 10000191120
325578,6064568319 | 10000354160 | | 334876,791275776 | 10000310683
334205,933448704 | 10000521277 | | 332642,0898024959 | 10000301625
330345,2266782719 | 10000460137 | | 331261,78604928 | 10000236862
334551,1007539202 | 10000214670 | | 345798,882738688 | 10000343292
276632,70160716795 | 10000273999 | | 335951,901632512 | 10000216029
322323,72076006397 | 10000504973 | | 331448,58750105597 | 10000182062
336658,7561548799 | 10000501350 | | 336361,96087628795 | 10000230069
344174,66059750406 | 10000445191 | | 339620,202172416 | 10000255884
342995,165842176 | 10000041213 | | 342636,26507519995 | 10000210594
335845,7653358081 | 10000480970 | | 333853,047228928 | 10000409867
339339,164870912 | 10000519013 | | 340014,1832232959 | 10000212406
342149,1162329599 | 10000400809 | | 328366,3810339839 | 10000229616
327886,7768688641 | 10000368654 | | 323309,613488896 | 10000235956
330790,25945241604 | 10000074727 | | 330158,79521356785 | 10000267206
331766,9240074241 | 10000444286 | | 325782,4172897282 | 10000181156
323077,0595297279 | 10000596911 | | 321048,682696704 | 10000272188
318659,61365017603 | 10000463760 | | 316752,1273136639 | 10000296643
