Profiling result from test run Test Main V1 exported at Wed Sep 28 15:46:54 CEST 2011;

time stamp [nano secs];event;power rate [mW];avg power rate [mW];avg power rate in interval [mW];
1316359264757238016;Start;19490;36383,20456078712;36949,12924161174;
1316359264827738880;;19490;36383,20456078712;36949,12924161174;
1316359264840351232;;19485;36383,20456078712;36949,12924161174;
1316359265010781952;;19532;36383,20456078712;36949,12924161174;
1316359265154843136;;19511;36383,20456078712;36949,12924161174;
1316359265291717120;;19511;36383,20456078712;36949,12924161174;
1316359265432364032;;19509;36383,20456078712;36949,12924161174;
1316359265585771008;;19509;36383,20456078712;36949,12924161174;
1316359265727273984;;19509;36383,20456078712;36949,12924161174;
1316359266259699968;;19506;36383,20456078712;36949,12924161174;
1316359266405651968;;19506;36383,20456078712;36949,12924161174;
1316359266541785856;;19506;36383,20456078712;36949,12924161174;
1316359266682545920;;19501;36383,20456078712;36949,12924161174;
1316359266697725952;;19501;36383,20456078712;36949,12924161174;
1316359266837879040;;19478;36383,20456078712;36949,12924161174;
1316359266850783232;;19480;36383,20456078712;36949,12924161174;
1316359266989820928;;19480;36383,20456078712;36949,12924161174;
1316359267130606848;;19480;36383,20456078712;36949,12924161174;
1316359267142780160;;19509;36383,20456078712;36949,12924161174;
1316359267280824064;;19483;36383,20456078712;36949,12924161174;
1316359267419909888;;19490;36383,20456078712;36949,12924161174;
1316359267429917184;;19490;36383,20456078712;36949,12924161174;
1316359267441716992;;19514;36383,20456078712;36949,12924161174;
1316359267578684160;;19493;36383,20456078712;36949,12924161174;
1316359267725518848;;19493;36383,20456078712;36949,12924161174;
1316359267738818048;;19493;36383,20456078712;36949,12924161174;
1316359267751246080;;19493;36383,20456078712;36949,12924161174;
1316359267894455808;;19493;36383,20456078712;36949,12924161174;
1316359267903859968;;19493;36383,20456078712;36949,12924161174;
1316359268043607040;;19469;36383,20456078712;36949,12924161174;
1316359268056623104;;21079;36383,20456078712;36949,12924161174;
1316359268199992832;;21263;36383,20456078712;36949,12924161174;
1316359268464631040;;21403;36383,20456078712;36949,12924161174;
1316359268476692992;;21380;36383,20456078712;36949,12924161174;
1316359268620211968;;21286;36383,20456078712;36949,12924161174;
1316359268760993024;;21115;36383,20456078712;36949,12924161174;
1316359268902787072;;21022;36383,20456078712;36949,12924161174;
1316359269049590016;;20949;36383,20456078712;36949,12924161174;
1316359269310972928;;20949;36383,20456078712;36949,12924161174;
1316359269526633984;;20949;36383,20456078712;36949,12924161174;
1316359269627069952;;20952;36383,20456078712;36949,12924161174;
1316359269724708096;;21066;36383,20456078712;36949,12924161174;
1316359269823642880;;27734;36383,20456078712;36949,12924161174;
1316359269921519104;;27730;36383,20456078712;36949,12924161174;
1316359270018476032;;27730;36383,20456078712;36949,12924161174;
1316359270123053056;;40716;36383,20456078712;36949,12924161174;
1316359270221398016;;44329;36383,20456078712;36949,12924161174;
1316359270318612224;;46894;36383,20456078712;36949,12924161174;
1316359270325968896;;46105;36383,20456078712;36949,12924161174;
1316359270512154112;;46099;36383,20456078712;36949,12924161174;
1316359270742055936;;45285;36383,20456078712;36949,12924161174;
1316359270842287104;;45843;36383,20456078712;36949,12924161174;
1316359270939834112;;44657;36383,20456078712;36949,12924161174;
1316359271129942784;;42992;36383,20456078712;36949,12924161174;
1316359271237370880;;42853;36383,20456078712;36949,12924161174;
1316359271246736128;;41855;36383,20456078712;36949,12924161174;
1316359271528843008;;43080;36383,20456078712;36949,12924161174;
1316359271629789952;;43988;36383,20456078712;36949,12924161174;
1316359271731888896;;43941;36383,20456078712;36949,12924161174;
1316359271741571072;;43884;36383,20456078712;36949,12924161174;
1316359271845444864;;44230;36383,20456078712;36949,12924161174;
1316359271947244032;;44207;36383,20456078712;36949,12924161174;
1316359272051397120;;44207;36383,20456078712;36949,12924161174;
1316359272060666112;;43315;36383,20456078712;36949,12924161174;
1316359272067561984;;42831;36383,20456078712;36949,12924161174;
1316359272175576064;;60098;36383,20456078712;36949,12924161174;
1316359272183691008;;60850;36383,20456078712;36949,12924161174;
1316359272285911040;;59130;36383,20456078712;36949,12924161174;
1316359272386776064;;54493;36383,20456078712;36949,12924161174;
1316359272488556032;;51102;36383,20456078712;36949,12924161174;
